question,answer,contexts,contexts_ids,ground_truth,goldPassages,Correct,CR,Faithfulness,AR
Was Abraham Lincoln the sixteenth President of the United States?,Yes," Context: . As an outspoken opponent of the expansion of slavery in the United States, ""[I]n his short autobiography written for the 1860 presidential campaign, Lincoln would describe his protest in the Illinois legislature as one that 'briefly defined his position on the slavery question, and so far as it goes, it was then the same that it is now ,  Context: On November 6, 1860, Lincoln was elected as the 16th President of the United States, beating Democrat Stephen A. Douglas, John C. Breckinridge of the Southern Democrats, and John Bell of the new Constitutional Union Party ","278, 319",yes,,0.995,[0.791 0.827],[0.687 0.665],0.763
Did Lincoln sign the National Banking Act of 1863?,No," Context: . Also included was the creation of the system of national banks by the National Banking Acts of 1863, 1864, and 1865, which allowed the creation of a strong national financial system ,  Context: . Congress with Grant in mind on March 2, 1864. On March 12, Grant became general-in-chief of all the armies of the United States. ","360, 1797",yes,,0.99,[0.864 0.831],[0.69  0.702],0.755
Did his mother die of pneumonia?,"No, Mittie died of Typhoid fever."," Context: .  Alice Roosevelt died of an undiagnosed case of Bright's Disease two days after Alice Lee was born.  Theodore Roosevelt's mother Mittie died of Typhoid fever in the same house on the same day, Feb. 14, 1884 ,  Context: An autopsy performed after his death revealed grave problems with his stomach and other organs of his abdomen, along with damage to his brain ","2894, 262",no,,0.78,[0.807 0.831],[0.838 0.834],0.889
How many long was Lincoln's formal education?,Less than one year," Context: .  just to borrow one  While his favorite book was The Life of George Washington, Lincoln mastered the Bible, Shakespeare, and English and American history, and developed a plain writing style that puzzled audiences more used to grandiose rhetoric ,  Context: There were few people who strongly or directly influenced Lincolnâs moral and intellectual development and perspectives ","287, 376",18 months,,0.796,[0.813 0.815],[0.76 0.76],0.786
When did Lincoln begin his political career?,"Lincoln began his political career in 1832, at age 23."," Context: . Acceptance of this offer would have ended his career in the rapidly growing state of Illinois, so Lincoln declined the position. Returning to Springfield, Lincoln gave up politics for several years and turned his energies to his law practice ,  Context: Lincoln began his political career in 1832, at age 23, with an unsuccessful campaign for the Illinois General Assembly, as a member of the Whig Party.  He ran eighth in a field of 13 candidates ","302, 289",1832,,0.785,[0.833 0.82 ],[0.84  0.879],0.866
What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history."," Context: . While it did not abolish the legal institution of slavery (the Thirteenth Amendment did that), the Act showed that Lincoln had the support of Congress in liberating slaves owned by rebels ,  Context: The Legal Tender Act of 1862 established the United States Note, the first paper currency in United States history.  This was done to increase the money supply to pay for fighting the war. ","330, 361","the United States Note, the first paper currency in United States history",,0.996,[0.822 0.853],[0.81  0.881],0.834
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell," Context: While Lincoln is usually portrayed bearded, he first grew a beard in 1860 at the suggestion of 11-year-old Grace Bedell ,  Context: . In claiming that all men were created free, Lincoln and the Whigs argued that this freedom required economic advancement, expanded education, territory to grow, and the ability of the nation to absorb the growing immigrant population. Guelzo pg.194-195 ","382, 380",11-year-old Grace Bedell,,1.0,[0.832 0.804],[0.818 0.766],0.791
When did the Gettysburg address argue that America was born?,"According to the speech, America was born in 1776, when the Declaration of Independence was signed."," Context: ."" By emphasizing the centrality of the nation, he rebuffed the claims of state sovereignty. While some critics say Lincoln moved too far and too fast,  H.L. Mencken said ""It is difficult to imagine anything more untrue ,  Context: . The speech defied Lincoln's own prediction that ""the world will little note, nor long remember what we say here."" Lincoln's second inaugural address is also greatly admired and often quoted ","358, 355",1776,,0.744,[0.813 0.825],[0.816 0.826],0.876
Did Lincoln beat John C. Breckinridge in the 1860 election?,"Yes, Lincoln gained more votes (1,865,908) than Breckenridge (848,019)."," Context: . Lincoln gained 1,865,908 votes (39.9% of the total), for 180 electoral votes; Douglas, 1,380,202 (29.5%) for 12 electoral votes; Breckenridge, 848,019 (18.1%) for 72 electoral votes; and Bell, 590,901 (12.5%) for 39 electoral votes ,  Context: United States presidential election, 1856 ","319, 202",yes,,0.658,[0.738 0.858],[0.849 0.803],0.793
Was Abraham Lincoln the first President of the United States?,No," Context: ."" This was in reference to the anti-expansion sentiments he had then expressed. Doris Kearns Goodwin, Team of Rivals: The Political Genius of Abraham Lincoln (2005) p. 91.  Holzer pg. 232 ,  Context: . William Wallace Lincoln was born on December 21, 1850, and died on February 20, 1862 in Washington, D.C., during Pres. Lincoln's first term. Thomas ""Tad"" Lincoln was born on 4 April, 1853, and died on July 16, 1871 in Chicago. ","278, 297",No,,1.0,[0.802 0.78 ],[0.717 0.649],0.76
